name,namelsad,geoid,county_crf_per_capita,county_crf_total,county_crf_score
"Alamance County, North Carolina",Alamance County,37001,39.21998928856118,6297789,-0.3621183335541678
"Alexander County, North Carolina",Alexander County,37003,42.776691182413316,1587828,-0.22159508099814465
"Alleghany County, North Carolina",Alleghany County,37005,58.99471429873326,647349,0.41916971356430743
"Anson County, North Carolina",Anson County,37007,44.34485892673674,1122191,-0.15963767254435338
"Ashe County, North Carolina",Ashe County,37009,45.56693795266184,1220556,-0.11135403092110335
"Avery County, North Carolina",Avery County,37011,50.07730986800754,876403,0.06684817738802723
"Beaufort County, North Carolina",Beaufort County,37013,40.782020616810954,1926665,-0.30040337138107187
"Bertie County, North Carolina",Bertie County,37015,47.13887192017919,925996,-0.04924782114832117
"Bladen County, North Carolina",Bladen County,37017,41.96414826218248,1417465,-0.2536981858969756
"Brunswick County, North Carolina",Brunswick County,37019,42.13756109096642,5345571,-0.2468467444596762
"Buncombe County, North Carolina",Buncombe County,37021,37.60244268569677,9568844,-0.4260266723970582
"Burke County, North Carolina",Burke County,37023,38.77239388264669,3478349,-0.3798025714086132
"Cabarrus County, North Carolina",Cabarrus County,37025,39.57681386759859,7972670,-0.3480203990252879
"Caldwell County, North Carolina",Caldwell County,37027,38.90936548502672,3181969,-0.37439090193259605
"Camden County, North Carolina",Camden County,37029,61.04297884560161,637716,0.5000954714184167
"Carteret County, North Carolina",Carteret County,37031,39.591947185142196,2728677,-0.3474224903259767
"Caswell County, North Carolina",Caswell County,37033,46.446496087224126,1056472,-0.07660319332787004
"Catawba County, North Carolina",Catawba County,37035,37.915790951259815,5942504,-0.41364646208597783
"Chatham County, North Carolina",Chatham County,37037,41.65237638090871,2906961,-0.2660161141686223
"Cherokee County, North Carolina",Cherokee County,37039,45.931292467832876,1270827,-0.09695859293294691
"Chowan County, North Carolina",Chowan County,37041,52.61964097148891,747462,0.16729422161598873
"Clay County, North Carolina",Clay County,37043,60.17784148709886,650703,0.4659143904190017
"Cleveland County, North Carolina",Cleveland County,37045,38.540742494261984,3744580,-0.3889549849440869
"Columbus County, North Carolina",Columbus County,37047,39.62180022382889,2230430,-0.34624301388399925
"Craven County, North Carolina",Craven County,37049,37.777138588696374,3894143,-0.4191245374331612
"Cumberland County, North Carolina",Cumberland County,37051,36.796631196063906,12220382,-0.45786382233249556
"Currituck County, North Carolina",Currituck County,37053,48.090246549852694,1240536,-0.011659555009938852
"Dare County, North Carolina",Dare County,37055,43.93880977029182,1570417,-0.17568044190320764
"Davidson County, North Carolina",Davidson County,37057,37.83462080357577,6230000,-0.4168534480812706
"Davie County, North Carolina",Davie County,37059,42.35838632087828,1778671,-0.23812206623817997
"Duplin County, North Carolina",Duplin County,37061,39.71721242084589,2345778,-0.3424733326853809
"Durham County, North Carolina",Durham County,37063,38.2439852899428,11720137,-0.4006796919380709
"Edgecombe County, North Carolina",Edgecombe County,37065,39.12157803945099,2086432,-0.36600650558145215
"Forsyth County, North Carolina",Forsyth County,37067,37.38061161602162,13889626,-0.43479109077089406
"Franklin County, North Carolina",Franklin County,37069,42.15957905765616,2736241,-0.2459768272199828
"Gaston County, North Carolina",Gaston County,37071,38.14117782856615,8260807,-0.40474155579139137
"Gates County, North Carolina",Gates County,37073,57.295857476433454,662512,0.35204885457154
"Graham County, North Carolina",Graham County,37075,64.41042421409372,551160,0.6331413071695589
"Granville County, North Carolina",Granville County,37077,40.87546285287223,2406502,-0.29671152221031744
"Greene County, North Carolina",Greene County,37079,47.682121096725055,1001706,-0.02778435766026207
"Guilford County, North Carolina",Guilford County,37081,179.02204544846842,93732720.6,5.161380748437408
"Halifax County, North Carolina",Halifax County,37083,39.31946189380907,2034271,-0.35818822795442196
"Harnett County, North Carolina",Harnett County,37085,39.132785112111755,5101389,-0.36556372056631076
"Haywood County, North Carolina",Haywood County,37087,40.92735756953982,2473363,-0.2946611917091281
"Henderson County, North Carolina",Henderson County,37089,39.06918371837184,4439236,-0.36807657516648906
"Hertford County, North Carolina",Hertford County,37091,45.325839440235164,1094755,-0.12087969491087364
"Hoke County, North Carolina",Hoke County,37093,41.71103890005447,2220654,-0.26369839167190684
"Hyde County, North Carolina",Hyde County,37095,79.01798627850918,426144,1.2102777089449768
"Iredell County, North Carolina",Iredell County,37097,39.04665410810028,6736524,-0.3689667071507445
"Jackson County, North Carolina",Jackson County,37099,43.01476713366149,1817632,-0.21218883666752156
"Johnston County, North Carolina",Johnston County,37101,40.376488188646874,7718854,-0.31642572510182126
"Jones County, North Carolina",Jones County,37103,60.44909747292419,586054,0.4766315588916682
"Lee County, North Carolina",Lee County,37105,40.81776299376299,2454168,-0.29899121056094086
"Lenoir County, North Carolina",Lenoir County,37107,39.25007426564384,2246164,-0.36092969335914993
"Lincoln County, North Carolina",Lincoln County,37109,40.793850763129136,3322292,-0.29993596908297143
"Macon County, North Carolina",Macon County,37113,44.44498692240628,1529352,-0.1556816728448228
"Madison County, North Carolina",Madison County,37115,47.94118196683018,1026181,-0.017549011217511012
"Martin County, North Carolina",Martin County,37117,45.57213498742084,1050620,-0.11114869905754635
"McDowell County, North Carolina",McDowell County,37111,41.73213771087809,1882495,-0.26286478975347655
"Mecklenburg County, North Carolina",Mecklenburg County,37119,183.76741985784122,193748563.5,5.348867770544554
"Mitchell County, North Carolina",Mitchell County,37121,52.120345744680854,783890,0.14756735348064012
"Montgomery County, North Carolina",Montgomery County,37123,44.60772551027873,1219486,-0.14925196454575496
"Moore County, North Carolina",Moore County,37125,40.25163914712064,3849224,-0.3213584391490946
"Nash County, North Carolina",Nash County,37127,38.449730327755496,3614390,-0.39255082346003584
"New Hanover County, North Carolina",New Hanover County,37129,38.42284073121022,8615592,-0.3936132160021245
"Northampton County, North Carolina",Northampton County,37131,46.820568710987814,945120,-0.061823798441191284
"Onslow County, North Carolina",Onslow County,37133,37.70826973059945,7312086,-0.4218455065299324
"Orange County, North Carolina",Orange County,37135,38.80960976087535,5547368,-0.37833219339788937
"Pamlico County, North Carolina",Pamlico County,37137,55.25364934861089,704042,0.2713623823614224
"Pasquotank County, North Carolina",Pasquotank County,37139,42.322551229767726,1670852,-0.23953789014155547
"Pender County, North Carolina",Pender County,37141,42.35635377838021,2499872,-0.2382023708269005
"Perquimans County, North Carolina",Perquimans County,37143,54.263838323798204,730337,0.2322555162889767
"Person County, North Carolina",Person County,37145,42.20671670270958,1658935,-0.24411444589075548
"Pitt County, North Carolina",Pitt County,37147,37.76561689556412,6698563,-0.4195797529227402
"Polk County, North Carolina",Polk County,37149,48.362352136083686,989397,-9.088193123712434e-4
"Randolph County, North Carolina",Randolph County,37151,37.60398858405966,5375791,-0.4259655948390967
"Richmond County, North Carolina",Richmond County,37153,40.92635375865808,1849421,-0.2947008517015208
"Robeson County, North Carolina",Robeson County,37155,36.798571664093764,4910475,-0.4577871555532223
"Rockingham County, North Carolina",Rockingham County,37157,38.31576640736277,3497080,-0.39784366114521863
"Rowan County, North Carolina",Rowan County,37159,38.103613767415204,5319455,-0.40622569030974065
"Rutherford County, North Carolina",Rutherford County,37161,39.70238381530692,2641479,-0.34305920238809834
"Sampson County, North Carolina",Sampson County,37163,39.59465710105253,2516676,-0.34731542310211627
"Scotland County, North Carolina",Scotland County,37165,42.323889739663095,1492425,-0.23948500638303727
"Stanly County, North Carolina",Stanly County,37167,40.75678240664987,2490810,-0.30140051859395983
"Stokes County, North Carolina",Stokes County,37169,40.880252695784776,1876608,-0.2965222782631465
"Surry County, North Carolina",Surry County,37171,38.989361849678914,2811094,-0.3712302914318916
"Swain County, North Carolina",Swain County,37173,53.2597867265329,759165,0.19258601336390074
"Transylvania County, North Carolina",Transylvania County,37175,44.066392146331275,1476797,-0.1706397353765011
"Tyrrell County, North Carolina",Tyrrell County,37177,95.48045642146153,393284,1.8607004653735637
"Union County, North Carolina",Union County,37179,38.85305742542811,8807755,-0.3766156010825562
"Vance County, North Carolina",Vance County,37181,41.34103682388382,1838932,-0.2783169615570732
"Wake County, North Carolina",Wake County,37183,185.36356437005878,193993721.2,5.411930525057087
"Warren County, North Carolina",Warren County,37185,47.619827284979785,953968,-0.030245550445546967
"Washington County, North Carolina",Washington County,37187,54.5536360644949,663154,0.24370525886551328
"Watauga County, North Carolina",Watauga County,37189,41.656004582663485,2254298,-0.2658727659975565
"Wayne County, North Carolina",Wayne County,37191,37.44376703601555,4643102,-0.4322958563377161
"Wilkes County, North Carolina",Wilkes County,37193,39.305024832018695,2690822,-0.358758627988128
"Wilson County, North Carolina",Wilson County,37195,38.955923576276184,3168519,-0.37255141844187
"Yadkin County, North Carolina",Yadkin County,37197,42.31764237355635,1593894,-0.23973183623592573
"Yancey County, North Carolina",Yancey County,37199,50.64079923020321,894671,0.08911131900620023
