name,namelsad,geoid,hhs_awards_per_capita,hhs_awards_total,hhs_awards_score
Anson,Anson County,37007,29.893819647514423,756493,1
Beaufort,Beaufort County,37013,18.279364138602546,863572,1
Bertie,Bertie County,37015,38.605630217878236,758369,1
Buncombe,Buncombe County,37021,12.905514905255547,3284118,1
Caswell,Caswell County,37033,34.86806471467511,793109,1
Chowan,Chowan County,37041,70.40366068285815,1000084,1
Duplin,Duplin County,37061,47.02336527716637,2777294,1
Durham,Durham County,37063,646.0558903859269,197988350,1
Gaston,Gaston County,37071,16.443313248839946,3561375,1
Gates,Gates County,37073,63.82712098936262,738033,1
Greene,Greene County,37079,138.44306930693068,2908412,1
Henderson,Henderson County,37089,25.76504290429043,2927553,1
Hertford,Hertford County,37091,49.83844656978429,1203748,1
Hyde,Hyde County,37095,138.38216206193212,746295,1
Jackson,Jackson County,37099,19.831929193487316,838018,1
Lenoir,Lenoir County,37107,24.78414035332972,1418322,1
Madison,Madison County,37115,13.261480962391964,283862,1
Mecklenburg,Mecklenburg County,37119,115.48271198144006,121755040,1
Mitchell,Mitchell County,37121,70.71150265957446,1063501,1
Nash,Nash County,37127,16.482112273012564,1549368,1
Northampton,Northampton County,37131,130.38605964529873,2631973,1
Orange,Orange County,37135,193.77833046495684,27698287,1
Person,Person County,37145,25.117364203027606,987238,1
Robeson,Robeson County,37155,22.603678002428023,3016280,1
Sampson,Sampson County,37163,31.80584005915577,2021611,1
Stanly,Stanly County,37167,64.75948227901954,3957711,1
Swain,Swain County,37173,471.01599551003227,6713862,1
Wake,Wake County,37183,439.75065595982255,460224567,1
Watauga,Watauga County,37189,34.32540606463773,1857588,1
Wilkes,Wilkes County,37193,13.26352614665498,908021,1
Wilson,Wilson County,37195,20.051231926822073,1630887,1
Alamance,Alamance County,37001,NA,NA,0
Alexander,Alexander County,37003,2.3675476171233063,87881,0
Alleghany,Alleghany County,37005,NA,NA,0
Ashe,Ashe County,37009,NA,NA,0
Avery,Avery County,37011,NA,NA,0
Bladen,Bladen County,37017,NA,NA,0
Brunswick,Brunswick County,37019,NA,NA,0
Burke,Burke County,37023,1.9591804886748707,175762,0
Cabarrus,Cabarrus County,37025,6.236244589174378,1256279,0
Caldwell,Caldwell County,37027,12.419594272368212,1015662,0
Camden,Camden County,37029,NA,NA,0
Carteret,Carteret County,37031,9.67810504933256,667015,0
Catawba,Catawba County,37035,0.9231220769608688,144680,0
Chatham,Chatham County,37037,NA,NA,0
Cherokee,Cherokee County,37039,5.653751626427642,156428,0
Clay,Clay County,37043,NA,NA,0
Cleveland,Cleveland County,37045,3.3285748103623956,323401,0
Columbus,Columbus County,37047,NA,NA,0
Craven,Craven County,37049,8.438107526047224,869817,0
Cumberland,Cumberland County,37051,5.334363125026347,1771574,0
Currituck,Currituck County,37053,NA,NA,0
Dare,Dare County,37055,NA,NA,0
Davidson,Davidson County,37057,NA,NA,0
Davie,Davie County,37059,NA,NA,0
Edgecombe,Edgecombe County,37065,NA,NA,0
Forsyth,Forsyth County,37067,5.549181452904275,2061926,0
Franklin,Franklin County,37069,NA,NA,0
Graham,Graham County,37075,NA,NA,0
Granville,Granville County,37077,NA,NA,0
Guilford,Guilford County,37081,4.885561382935243,2557992,0
Halifax,Halifax County,37083,NA,NA,0
Harnett,Harnett County,37085,7.833539171991624,1021188,0
Haywood,Haywood County,37087,3.068340145284861,185429,0
Hoke,Hoke County,37093,NA,NA,0
Iredell,Iredell County,37097,1.787920591218664,308461,0
Johnston,Johnston County,37101,3.1948820957043917,610772,0
Jones,Jones County,37103,NA,NA,0
Lee,Lee County,37105,NA,NA,0
Lincoln,Lincoln County,37109,NA,NA,0
Macon,Macon County,37113,7.6873292647486196,264521,0
Martin,Martin County,37117,NA,NA,0
McDowell,McDowell County,37111,3.506728147376355,158185,0
Montgomery,Montgomery County,37123,NA,NA,0
Moore,Moore County,37125,NA,NA,0
New Hanover,New Hanover County,37129,7.4936204182294155,1680302,0
Onslow,Onslow County,37133,1.5590061471182806,302310,0
Pamlico,Pamlico County,37137,NA,NA,0
Pasquotank,Pasquotank County,37139,NA,NA,0
Pender,Pender County,37141,6.60330396475771,389727,0
Perquimans,Perquimans County,37143,NA,NA,0
Pitt,Pitt County,37147,0.9182565455652527,162873,0
Polk,Polk County,37149,3.436552937726073,70305,0
Randolph,Randolph County,37151,8.675142349501252,1240181,0
Richmond,Richmond County,37153,NA,NA,0
Rockingham,Rockingham County,37157,1.9064752930864468,174004,0
Rowan,Rowan County,37159,3.248200279359622,453465,0
Rutherford,Rutherford County,37161,3.460710635483677,230248,0
Scotland,Scotland County,37165,NA,NA,0
Stokes,Stokes County,37169,NA,NA,0
Surry,Surry County,37171,NA,NA,0
Transylvania,Transylvania County,37175,NA,NA,0
Tyrrell,Tyrrell County,37177,NA,NA,0
Union,Union County,37179,2.2096747156960483,500920,0
Vance,Vance County,37181,9.891664043882919,440001,0
Warren,Warren County,37185,NA,NA,0
Washington,Washington County,37187,NA,NA,0
Wayne,Wayne County,37191,4.8900582248673405,606377,0
Yadkin,Yadkin County,37197,8.982901898314084,338341,0
Yancey,Yancey County,37199,NA,NA,0
