name,namelsad,geoid,ui_claimants,ui_claims_per,ui_claims_score
Alamance,Alamance County,37001,2472,15.394579513750498,1
Alexander,Alexander County,37003,530,14.278401896602817,1
Anson,Anson County,37007,534,21.101715008298427,1
Beaufort,Beaufort County,37013,630,13.335308934656986,1
Bertie,Bertie County,37015,249,12.675626145387906,1
Bladen,Bladen County,37017,497,14.713718988690864,1
Burke,Burke County,37023,1082,12.060816836097734,1
Cabarrus,Cabarrus County,37025,2925,14.519876097057304,1
Caldwell,Caldwell County,37027,1601,19.577153058853742,1
Catawba,Catawba County,37035,2344,14.955751647748661,1
Cleveland,Cleveland County,37045,1811,18.63954960425694,1
Columbus,Columbus County,37047,730,12.96786456575418,1
Craven,Craven County,37049,1294,12.55311305562562,1
Cumberland,Cumberland County,37051,6642,19.999638669581397,1
Davidson,Davidson County,37057,2079,12.625710537822476,1
Davie,Davie County,37059,511,12.169274368317021,1
Durham,Durham County,37063,4679,15.26804739327214,1
Edgecombe,Edgecombe County,37065,1303,24.431860796519913,1
Forsyth,Forsyth County,37067,6304,16.965710640977683,1
Gaston,Gaston County,37071,3909,18.04834129787381,1
Guilford,Guilford County,37081,10051,19.196611037048637,1
Halifax,Halifax County,37083,1012,19.560469296634903,1
Haywood,Haywood County,37087,721,11.930567736170635,1
Hertford,Hertford County,37091,315,13.041858154266551,1
Hoke,Hoke County,37093,703,13.204605646236782,1
Iredell,Iredell County,37097,2148,12.450369511664976,1
Jones,Jones County,37103,122,12.583806085611139,1
Lee,Lee County,37105,1021,16.98128898128898,1
Lenoir,Lenoir County,37107,973,17.002463871948557,1
Lincoln,Lincoln County,37109,1115,13.69089279355607,1
Martin,Martin County,37117,362,15.70226424915416,1
Mecklenburg,Mecklenburg County,37119,20846,19.772098255358458,1
Montgomery,Montgomery County,37123,364,13.31479991221011,1
Nash,Nash County,37127,1819,19.35044626235333,1
New Hanover,New Hanover County,37129,2764,12.326573934915332,1
Northampton,Northampton County,37131,287,14.2177746953334,1
Person,Person County,37145,497,12.644701691896705,1
Pitt,Pitt County,37147,3257,18.36253749182509,1
Richmond,Richmond County,37153,913,20.204031954679238,1
Robeson,Robeson County,37155,3099,23.223572788177634,1
Rockingham,Rockingham County,37157,1429,15.656842335926372,1
Sampson,Sampson County,37163,726,11.422098456600747,1
Scotland,Scotland County,37165,789,22.375361579036923,1
Stanly,Stanly County,37167,728,11.912164152240077,1
Vance,Vance County,37181,985,22.143788498718582,1
Wake,Wake County,37183,14623,13.972469753229158,1
Washington,Washington County,37187,208,17.11089174070418,1
Wayne,Wayne County,37191,1581,12.749794358155514,1
Wilson,Wilson County,37195,1315,16.16750270482935,1
Yadkin,Yadkin County,37197,429,11.389884508164078,1
Alleghany,Alleghany County,37005,117,10.662535313952429,0
Ashe,Ashe County,37009,231,8.623908011647876,0
Avery,Avery County,37011,158,9.028055539683447,0
Brunswick,Brunswick County,37019,1191,9.3883020652688,0
Buncombe,Buncombe County,37021,2822,11.089541564167655,0
Camden,Camden County,37029,51,4.881784244280655,0
Carteret,Carteret County,37031,481,6.979106210098665,0
Caswell,Caswell County,37033,235,10.331486854831619,0
Chatham,Chatham County,37037,462,6.619764726110817,0
Cherokee,Cherokee County,37039,255,9.21642330490097,0
Chowan,Chowan County,37041,133,9.36290038718761,0
Clay,Clay County,37043,76,7.028576713215574,0
Currituck,Currituck County,37053,150,5.814855016281594,0
Dare,Dare County,37055,257,7.190621415181444,0
Duplin,Duplin County,37061,597,10.108022078493786,0
Franklin,Franklin County,37069,732,11.27854303411297,0
Gates,Gates County,37073,53,4.583585574677851,0
Graham,Graham County,37075,88,10.2839780296833,0
Granville,Granville County,37077,565,9.596765974793627,0
Greene,Greene County,37079,184,8.758568164508759,0
Harnett,Harnett County,37085,1317,10.102714768987658,0
Henderson,Henderson County,37089,1064,9.364136413641365,0
Hyde,Hyde County,37095,47,8.71500092712776,0
Jackson,Jackson County,37099,265,6.2712987504733055,0
Johnston,Johnston County,37101,1936,10.127006046910635,0
Macon,Macon County,37113,290,8.427782621331009,0
Madison,Madison County,37115,211,9.857509927587012,0
McDowell,McDowell County,37111,492,10.90691436298743,0
Mitchell,Mitchell County,37121,122,8.111702127659575,0
Moore,Moore County,37125,963,10.070166999550345,0
Onslow,Onslow County,37133,1763,9.091752960105614,0
Orange,Orange County,37135,1212,8.479200772362843,0
Pamlico,Pamlico County,37137,104,8.16198398995448,0
Pasquotank,Pasquotank County,37139,421,10.663897261835407,0
Pender,Pender County,37141,586,9.928837682141646,0
Perquimans,Perquimans County,37143,106,7.87577085964782,0
Polk,Polk County,37149,143,6.989930589500441,0
Randolph,Randolph County,37151,1576,11.024216902866577,0
Rowan,Rowan County,37159,1585,11.353461552236668,0
Rutherford,Rutherford County,37161,748,11.242710274755005,0
Stokes,Stokes County,37169,480,10.45637730094761,0
Surry,Surry County,37171,776,10.762978682089903,0
Swain,Swain County,37173,128,8.979935456713905,0
Transylvania,Transylvania County,37175,241,7.191239220600961,0
Tyrrell,Tyrrell County,37177,34,8.254430687059967,0
Union,Union County,37179,2558,11.283933408030208,0
Warren,Warren County,37185,211,10.532621175061148,0
Watauga,Watauga County,37189,290,5.358759724301052,0
Wilkes,Wilkes County,37193,679,9.918200408997956,0
Yancey,Yancey County,37199,123,6.962132789947359,0
