name,namelsad,geoid,zhvi_pct_change,zhvi_score
Mecklenburg,Mecklenburg County,37119,0.09526894776903838,1
Wake,Wake County,37183,0.052467030468394724,1
Guilford,Guilford County,37081,0.09555110065923898,1
Forsyth,Forsyth County,37067,0.09270960749890672,1
Cumberland,Cumberland County,37051,0.0809042133638436,1
Durham,Durham County,37063,0.05756382498301236,1
Buncombe,Buncombe County,37021,0.05719296222299862,1
Gaston,Gaston County,37071,0.08325206034163174,1
New Hanover,New Hanover County,37129,0.05904419215418657,1
Union,Union County,37179,0.07430046851716778,1
Cabarrus,Cabarrus County,37025,0.08977169750650414,1
Johnston,Johnston County,37101,0.06596325794200616,1
Pitt,Pitt County,37147,0.06398269507179553,1
Davidson,Davidson County,37057,0.0696131442154481,1
Iredell,Iredell County,37097,0.08393473320989732,1
Catawba,Catawba County,37035,0.07996065123372352,1
Alamance,Alamance County,37001,0.05784070592306361,1
Randolph,Randolph County,37151,0.07959199799818256,1
Rowan,Rowan County,37159,0.06918463426238951,1
Robeson,Robeson County,37155,0.04068578882018738,1
Wayne,Wayne County,37191,0.06433289202162674,1
Harnett,Harnett County,37085,0.0846803648691678,1
Brunswick,Brunswick County,37019,0.046137946839745224,1
Henderson,Henderson County,37089,0.06960452642932607,1
Craven,Craven County,37049,0.05169944479318394,1
Nash,Nash County,37127,0.05375881709479084,1
Rockingham,Rockingham County,37157,0.061647504841966454,1
Moore,Moore County,37125,0.05686404831177291,1
Caldwell,Caldwell County,37027,0.04614536355025236,1
Lincoln,Lincoln County,37109,0.04217571290513349,1
Rutherford,Rutherford County,37161,0.04716430909925112,1
Carteret,Carteret County,37031,0.043227708453080674,1
Chatham,Chatham County,37037,0.06437370031176297,1
Franklin,Franklin County,37069,0.05046692668279956,1
Granville,Granville County,37077,0.04926237301171871,1
Haywood,Haywood County,37087,0.07864739221804751,1
Pender,Pender County,37141,0.06403591786429562,1
Watauga,Watauga County,37189,0.06811020304996208,1
McDowell,McDowell County,37111,0.05159931931585475,1
Person,Person County,37145,0.03824870338631806,1
Yadkin,Yadkin County,37197,0.048645163023765065,1
Macon,Macon County,37113,0.045276443766362105,1
Dare,Dare County,37055,0.04671010243352846,1
Cherokee,Cherokee County,37039,0.043716596715954376,1
Northampton,Northampton County,37131,0.04474497262724267,1
Warren,Warren County,37185,0.03966794656860094,1
Yancey,Yancey County,37199,0.048274442018109015,1
Clay,Clay County,37043,0.04073100939291755,1
Jones,Jones County,37103,0.04354045491086206,1
Onslow,Onslow County,37133,0.037164535174368935,0
Orange,Orange County,37135,0.03185099735977532,0
Cleveland,Cleveland County,37045,0.027447203196347032,0
Wilson,Wilson County,37195,0.024212881572638643,0
Surry,Surry County,37171,0.015094285734686155,0
Wilkes,Wilkes County,37193,0.03694956174880596,0
Sampson,Sampson County,37163,0.017989356779268856,0
Stanly,Stanly County,37167,0.03503636121701601,0
Lenoir,Lenoir County,37107,0.02355684881680859,0
Duplin,Duplin County,37061,0.02813050233039876,0
Columbus,Columbus County,37047,0.030885169646114558,0
Lee,Lee County,37105,0.012938339648639339,0
Edgecombe,Edgecombe County,37065,-0.002765223596574691,0
Halifax,Halifax County,37083,0.014392715523571744,0
Beaufort,Beaufort County,37013,0.024851601036702618,0
Stokes,Stokes County,37169,0.02121656050955414,0
Hoke,Hoke County,37093,0.012671432105864968,0
Richmond,Richmond County,37153,0.01906580451040808,0
Vance,Vance County,37181,0.024869328623594835,0
Davie,Davie County,37059,0.027852720149678007,0
Pasquotank,Pasquotank County,37139,0.03287676668805101,0
Jackson,Jackson County,37099,0.031543589131796355,0
Alexander,Alexander County,37003,0.03418714927629263,0
Scotland,Scotland County,37165,0.01610927355139042,0
Bladen,Bladen County,37017,-0.001294246557939369,0
Transylvania,Transylvania County,37175,0.03659902761077544,0
Montgomery,Montgomery County,37123,0.030795340584741187,0
Ashe,Ashe County,37009,0.024751102946358516,0
Anson,Anson County,37007,0.03495296452921377,0
Hertford,Hertford County,37091,0.019049505307033733,0
Martin,Martin County,37117,0.015349240913036195,0
Caswell,Caswell County,37033,0.03110995535907771,0
Currituck,Currituck County,37053,0.02408752600104004,0
Greene,Greene County,37079,0.014317314243581009,0
Bertie,Bertie County,37015,-0.01244296177000652,0
Madison,Madison County,37115,0.004782443833538724,0
Polk,Polk County,37149,0.03207103936131693,0
Avery,Avery County,37011,0.037056548721748794,0
Mitchell,Mitchell County,37121,0.029135992260441446,0
Chowan,Chowan County,37041,0.03137786054911256,0
Swain,Swain County,37173,0.03448313131258545,0
Perquimans,Perquimans County,37143,0.02296283606015737,0
Washington,Washington County,37187,0.028672367006297682,0
Pamlico,Pamlico County,37137,0.025547600081073565,0
Gates,Gates County,37073,0.019094591669501223,0
Alleghany,Alleghany County,37005,0.013215968261839822,0
Camden,Camden County,37029,-0.01846098041742434,0
Graham,Graham County,37075,-4.2452830188679245e-4,0
Hyde,Hyde County,37095,0.03642536140136073,0
Tyrrell,Tyrrell County,37177,0.015577007459412023,0
Burke,Burke County,37023,NA,0
