county,Round 1 Allocation,Round 2 Allocation,Total Allocation,Municipal Distribution
Alamance,"3,007,967","3,289,822","6,297,789","1,574,447"
Alexander,"860,088.50","727,740","1,587,828","396,957"
Alleghany,"431,202.60","216,146","647,349","161,837"
Anson,"647,744.40","474,447","1,122,191","280,548"
Ashe,"692,601.70","527,954","1,220,556","305,139"
Avery,"535,658.20","340,745","876,403","219,101"
Beaufort,"1,014,607.80","912,057","1,926,665","481,666"
Bertie,"558,273.90","367,722","925,996","231,499"
Bladen,"782,397.70","635,067","1,417,465","354,366"
Brunswick,"2,573,728.30","2,771,843","5,345,571","1,336,393"
Buncombe,"4,499,663.30","5,069,181","9,568,844","2,392,211"
Burke,"1,722,220.70","1,756,128","3,478,349","869,587"
Cabarrus,"3,771,761.40","4,200,908","7,972,670","1,993,167"
Caldwell,"1,587,063.00","1,594,906","3,181,969","795,492"
Camden,"426,809.70","210,906","637,716","159,429"
Carteret,"1,380,348.50","1,348,328","2,728,677","682,169"
Caswell,"617,774.50","438,697","1,056,472","264,118"
Catawba,"2,845,947.20","3,096,557","5,942,504","1,485,626"
Chatham,"1,461,651.40","1,445,310","2,906,961","726,740"
Cherokee,"715,526.60","555,300","1,270,827","317,707"
Chowan,"476,857.20","270,605","747,462","186,866"
Clay,"432,732.10","217,971","650,703","162,676"
Cleveland,"1,843,629.90","1,900,950","3,744,580","936,145"
Columbus,"1,153,133.40","1,077,296","2,230,430","557,607"
Craven,"1,911,835.10","1,982,308","3,894,143","973,536"
Cumberland,"5,708,841.60","6,511,541","12,220,382","3,055,096"
Currituck,"701,713.10","538,823","1,240,536","310,134"
Dare,"852,148.60","718,269","1,570,417","392,604"
Davidson,"2,977,053.50","3,252,946","6,230,000","1,557,500"
Davie,"947,118.50","831,553","1,778,671","444,668"
Duplin,"1,205,735.40","1,140,042","2,345,778","586,444"
Durham,"5,480,715.30","6,239,422","11,720,137","2,930,034"
Edgecombe,"1,087,466.30","998,966","2,086,432","521,608"
Forsyth,"6,470,065.20","7,419,561","13,889,626","3,472,407"
Franklin,"1,383,798","1,352,443","2,736,241","684,060"
Gaston,"3,903,161","4,357,647","8,260,807","2,065,202"
Gates,"438,118","224,395","662,512","165,628"
Graham,"387,338","163,822","551,160","137,790"
Granville,"1,233,427","1,173,075","2,406,502","601,625"
Greene,"592,800","408,906","1,001,706","250,426"
Guilford,,,93732720.6,
Halifax,"1,063,679","970,591","2,034,271","508,568"
Harnett,"2,462,374","2,639,015","5,101,389","1,275,347"
Haywood,"1,263,918","1,209,445","2,473,363","618,341"
Henderson,"2,160,413","2,278,823","4,439,236","1,109,809"
Hertford,"635,233","459,522","1,094,755","273,689"
Hoke,"1,148,675","1,071,979","2,220,654","555,163"
Hyde,"330,327","95,817","426,144","106,536"
Iredell,"3,208,043","3,528,481","6,736,524","1,684,131"
Jackson,"964,886","852,746","1,817,632","454,408"
Johnston,"3,656,014","4,062,840","7,718,854","1,929,714"
Jones,"403,250","182,803","586,054","146,513"
Lee,"1,255,165","1,199,004","2,454,168","613,542"
Lenoir,"1,160,309","1,085,855","2,246,164","561,541"
Lincoln,"1,651,054","1,671,238","3,322,292","830,573"
Macon,"833,421","695,930","1,529,352","382,338"
Madison,"603,961","422,220","1,026,181","256,545"
Martin,"615,106","435,514","1,050,620","262,655"
McDowell,"994,465","888,030","1,882,495","470,624"
Mecklenburg,,,193748563.5,
Mitchell,"493,469","290,421","783,890","195,972"
Montgomery,"692,114","527,372","1,219,486","304,871"
Moore,"1,891,351","1,957,874","3,849,224","962,306"
Nash,"1,784,259","1,830,131","3,614,390","903,597"
New Hanover,"4,064,953","4,550,639","8,615,592","2,153,898"
Northampton,"566,995","378,125","945,120","236,280"
Onslow,"3,470,516","3,841,570","7,312,086","1,828,022"
Orange,"2,665,753","2,881,614","5,547,368","1,386,842"
Pamlico,"457,056","246,986","704,042","176,010"
Pasquotank,"897,950","772,902","1,670,852","417,713"
Pender,"1,276,007","1,223,865","2,499,872","624,968"
Perquimans,"469,047","261,289","730,337","182,584"
Person,"892,515","766,420","1,658,935","414,734"
Pitt,"3,190,732","3,507,831","6,698,563","1,674,641"
Polk,"587,186","402,210","989,397","247,349"
Randolph,"2,587,509","2,788,281","5,375,791","1,343,948"
Richmond,"979,383","870,039","1,849,421","462,355"
Robeson,"2,375,312","2,535,163","4,910,475","1,227,619"
Rockingham,"1,730,763","1,766,317","3,497,080","874,270"
Rowan,"2,561,818","2,757,636","5,319,455","1,329,864"
Rutherford,"1,340,584","1,300,895","2,641,479","660,370"
Sampson,"1,283,670","1,233,006","2,516,676","629,169"
Scotland,"816,582","675,843","1,492,425","373,106"
Stanly,"1,271,874","1,218,935","2,490,810","622,702"
Stokes,"991,781","884,828","1,876,608","469,152"
Surry,"1,417,933","1,393,161","2,811,094","702,773"
Swain,"482,194","276,971","759,165","189,791"
Transylvania,"809,455","667,342","1,476,797","369,199"
Tyrrell,"315,342","77,942","393,284","98,321"
Union,"4,152,585","4,655,171","8,807,755","2,201,939"
Vance,"974,599","864,333","1,838,932","459,733"
Wake,,,193993721.2,
Warren,"571,030","382,938","953,968","238,492"
Washington,"438,410","224,744","663,154","165,789"
Watauga,"1,164,018","1,090,280","2,254,298","563,575"
Wayne,"2,253,382","2,389,720","4,643,102","1,160,775"
Wilkes,"1,363,086","1,327,736","2,690,822","672,706"
Wilson,"1,580,929","1,587,589","3,168,519","792,130"
Yadkin,"862,854","731,039","1,593,894","398,473"
Yancey,"543,989","350,682","894,671","223,668"
